@RELATION fractal

@ATTRIBUTE a1 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1.90345879356, 3
1.92482261857, 2
1.90014898093, 3
1.91754308351, 3
1.90750228366, 3
1.90202316598, 2
1.91222582697, 2
1.89634476744, 2
1.83261927974, 2
1.87879021404, 2
1.81527630885, 2
1.88758725815, 2
1.83425367947, 2
1.90910455261, 3
1.91695103833, 2
1.93330062564, 3
1.89527983976, 2
1.89463154088, 2
1.89771414198, 2
1.90070589135, 2
1.88283670352, 2
1.88477059886, 3
1.85927639377, 2
1.90990059239, 3
1.88355760242, 2
1.87402942266, 2
1.85719406994, 2
1.90751027198, 3
1.93043674296, 2
1.86851260422, 3
1.9039030819, 2
1.92409145923, 3
1.89683859851, 3
1.82442999195, 2
1.89397130406, 2
1.91418881664, 2
1.89134004281, 2
1.88150225827, 2
1.87184388521, 3
1.872837162, 2
1.85071512, 2
1.94371071372, 2
1.93903901471, 2
1.85235967742, 4
1.86533717358, 4
1.86870698216, 4
1.89419885221, 4
1.9386103641, 2
1.940080115, 3
1.88301402988, 2
1.9480752106, 2
1.86804811944, 3
1.94764425078, 3
1.87462598375, 2
1.87581945965, 2
1.95416352386, 2
1.8736750102, 2
1.92364055324, 2
1.94388134205, 2
1.93779446093, 2
1.86934103338, 3
1.89536778413, 3
1.89811449418, 3
1.93072381242, 2
1.83384304918, 2
1.87357319594, 2
1.87084731929, 3
1.93900937418, 3
1.87932275063, 2
1.94103174541, 3
1.95332551243, 3
1.8479172388, 3
1.8723874188, 2
1.89858249697, 3
1.94968106308, 3
1.90367746103, 2
1.86960126189, 3
1.85561561051, 3
1.94014647443, 3
