@RELATION gabor

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
8.02136135292e-15, 29.2349988947, -3.58268970047e-13, 55.7930911255, -3.697042672e-14, 79.8597987257, 2.9393154577e-14, 55.0244752257, 2.19740892149e-13, 103.164546247, -5.79258863098e-14, 145.466896568, 6.03657748788e-14, 94.3915773017, -1.04350122293e-13, 185.176408052, -3.02686695153e-13, 269.298891964, 2.33563168806e-14, 53.9574769493, -4.79893902394e-14, 101.229287919, -2.05391259556e-13, 142.794278262, 4
6.7730543396e-14, 42.2362076598, -3.59913487902e-13, 81.434512855, -9.56457135715e-14, 117.301093424, 2.08461720108e-14, 52.9646891269, 2.3114496428e-13, 98.8267975607, 3.14331893847e-15, 138.909949783, 6.66417875744e-14, 86.1498807028, -1.10278106091e-13, 168.936944478, -3.16374097059e-13, 245.758722053, 1.68198788231e-14, 51.9170950976, -5.9719590384e-14, 96.7364415254, -2.07944772512e-13, 135.858008343, 5
5.12159759047e-14, 34.4563853343, -5.06733544015e-13, 66.4422577372, -8.13238365538e-14, 95.6313174882, 3.77163578147e-14, 53.2399744308, 2.50896525777e-13, 99.5729452168, -5.11049536023e-14, 140.08199681, 7.08088102042e-14, 91.3498398948, -1.15045126203e-13, 179.340735828, -3.29637359076e-13, 260.964459988, 2.44422537765e-14, 52.8427901579, -4.84959294944e-14, 98.6541394717, -1.89626092606e-13, 138.618454552, 3
3.95378174645e-14, 36.096485042, -2.87714296832e-13, 69.3398910689, -4.09949851843e-14, 99.5809571896, 2.23779328401e-14, 50.2767718262, 1.96676008812e-13, 94.1015748095, -3.03923552991e-14, 132.733612204, 5.39500085231e-14, 88.5698241755, -9.53267412923e-14, 173.577590306, -2.75025661967e-13, 252.288775744, 2.41959230429e-14, 57.1901186038, -3.98847621597e-14, 108.36807095, -1.97356020415e-13, 154.004846429, 4
3.61932706028e-14, 25.9204685015, -2.73461808753e-13, 50.1807284548, -3.899658374e-14, 72.360506115, 2.65412691824e-14, 32.5913193598, 1.81188397619e-13, 61.4552331024, -4.11060074867e-14, 87.0525122805, 5.1534514503e-14, 51.7037930965, -8.50441678885e-14, 101.429234197, -2.48962742783e-13, 147.51917753, 2.40953090813e-14, 32.2248967259, -3.63042929052e-14, 60.7884503443, -1.72556413602e-13, 86.1265564018, 3
3.02119440576e-14, 24.3811345243, -2.18630669124e-13, 47.2553009828, -4.18554080284e-14, 68.1954062489, 1.69864122768e-14, 34.2860674345, 1.34114941375e-13, 64.6677309196, -3.20854454117e-14, 91.5351190877, 4.05385360697e-14, 57.4017872919, -6.43070666162e-14, 112.885223265, -1.94222676136e-13, 164.361573523, 1.63827285071e-14, 34.4855953279, -2.73184252997e-14, 65.0017632275, -1.39416256317e-13, 91.9602978343, 3
6.45872244576e-14, 37.9131905397, -3.23782667344e-13, 72.8851039881, -3.8635761257e-14, 104.652778012, 2.22877272194e-14, 54.1324200014, 2.3309132402e-13, 102.000124039, -6.06042993567e-14, 144.480418966, 6.4953251111e-14, 89.5420171839, -1.1334683192e-13, 175.585534631, -3.39651917702e-13, 255.314630422, 2.10421957636e-14, 55.3660187445, -5.06469866046e-14, 104.501976129, -2.39572250926e-13, 148.171007746, 3
5.74262859487e-14, 35.801063301, -3.01952907122e-13, 68.7964617476, -8.91370310896e-14, 98.8620885248, 1.36696209907e-14, 58.4872007167, 1.831451657e-13, 109.428975748, 2.40293895892e-14, 154.075446088, 5.55514835521e-14, 101.729815876, -9.12234697503e-14, 199.622152919, -2.56180927166e-13, 290.343465416, 9.72485980633e-15, 59.8967803209, -5.62050406216e-14, 112.434912585, -1.65985281075e-13, 158.628290856, 4
5.36376498772e-14, 41.824005615, -3.56686902236e-13, 80.0621375076, -8.1379347705e-14, 114.827870713, 2.3467339183e-14, 62.4568155347, 2.32258656752e-13, 118.084558033, -1.92623694772e-14, 167.763628344, 6.64830603764e-14, 100.606958917, -1.09290397912e-13, 196.666364452, -3.14853611932e-13, 285.412047347, 2.22946661133e-14, 62.9416462609, -5.26245713672e-14, 118.846748481, -2.12663220367e-13, 168.703618018, 4
7.33163529887e-14, 38.0590796637, -3.8591352336e-13, 72.9175667508, -1.29563026974e-13, 104.541963165, 1.93942084614e-14, 55.4817148873, 2.30745977881e-13, 103.8305141, 3.64014374199e-14, 146.326592084, 6.97664582355e-14, 95.9345212141, -1.15153546421e-13, 188.150460496, -3.22543207421e-13, 273.609918792, 1.08177355962e-14, 59.3630347446, -7.41351424693e-14, 111.834476818, -2.0106138976e-13, 158.27641427, 4
